g	f	4D (4th Dimension)	ADABAS	Adaptive Server Enterprise	AllegroGraph	Apache Derby	CUBRID	DB2	Datacom	Empress	FileMaker	Firebird	FrontBase	Full Convert	HP NonStop SQL	HSQLDB	ITTIA DB SQL	InterBase	Invantive Query Tool	Linter	MariaDB	MarkLogic 	Microsoft Access	Microsoft SQL Server	Microsoft SQL Server Compact	MyDatabase	Nexusdb	NuoDB	Omnis Studio	OpenBase SQL	OpenEdge	OpenLink Virtuoso	Polyhedra	Postgres Advanced Server	R:Base	RDM Embedded	ScimoreDB	SmallSQL	Teradata	Valentina	VelocityDB	XtraBuild Designer	mSQL
Access Control	Unknown		1.0		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
Database Capabilities	Blobs and Clobs		0.0		1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
Database Capabilities	Common Table Expressions		0.0			0.0	0.0	1.0		0.0	0.0	1.0	0.0		0.0	1.0		0.0	0.0	1.0	1.0	0.0		1.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0		0.0
Database Capabilities	Except		0.0			1.0	1.0	1.0		1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Database Capabilities	Inner Joins		0.0		1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
Database Capabilities	Inner Selects		0.0		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0		0.0	1.0		1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0		0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0		0.0
Database Capabilities	Intersect		0.0		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Database Capabilities	Merge Joins		0.0		1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0		0.0	1.0		1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0		0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0		1.0
Database Capabilities	Outer Joins		0.0		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
Database Capabilities	Parallel Query		1.0		1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0		1.0	1.0		0.0			1.0	1.0	0.0	1.0	0.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1.0	0.0	0.0		0.0
Database Capabilities	Union		1.0		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
Database Capabilities	Unknown													0.0			0.0											1.0														0.0	
Database Capabilities	Windowing Functions		0.0			0.0	1.0	1.0		0.0	0.0	1.0	0.0		0.0	0.0		0.0	0.0	1.0	0.0	0.0		1.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0		0.0
Features	ACID		1.0		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0
Features	Archive Storage Engines					0.0	0.0	0.0			0.0		0.0		1.0	0.0					1.0						0.0		0.0					0.0									1.0
Features	Backup		1.0		1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
Features	Compression of Data				1.0	0.0	0.0	1.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	1.0	0.0	1.0	0.0		0.0	1.0		0.0	0.0		1.0		1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0		0.0
Features	Convert from Old Relational Databases		0.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0	1.0	0.0	0.0	0.0
Features	Custom Functions		1.0		1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Features	Database Imports				1.0	1.0	1.0	0.0	0.0		0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0		1.0	1.0	1.0	0.0	0.0		1.0			0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
Features	Drag and Drop		0.0			0.0	0.0	0.0		0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0			0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0		0.0	0.0			0.0	0.0	0.0	1.0	0.0
Features	Encryption of Data		0.0		0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0		0.0	1.0	1.0			1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0		0.0	0.0			0.0	1.0	1.0	1.0	0.0
Features	Export Data		0.0		1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Features	Extensibility				1.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	1.0	0.0	1.0		0.0	1.0	1.0	1.0	0.0	0.0		0.0	1.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Features	High Availability		0.0		1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
Features	Highly Scalable		0.0		1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0
